t;pos;v;a
0,2;-0,13;0,42;3,64
0,3;-0,05;0,71;1,32
0,4;0,04;0,72;-1,03
0,5;0,11;0,47;-3
0,6;0,14;0,04;-3,84
0,7;0,12;-0,41;-3,24
0,8;0,05;-0,7;-1,4
0,9;-0,04;-0,73;0,96
1;-0,12;-0,48;2,95
1,1;-0,15;-0,05;3,82
1,2;-0,13;0,39;3,26
1,3;-0,06;0,69;1,49
1,4;0,03;0,73;-0,86
1,5;0,11;0,5;-2,9
1,6;0,14;0,07;-3,84
1,7;0,12;-0,38;-3,31
1,8;0,05;-0,69;-1,53
1,9;-0,03;-0,73;0,81
2;-0,11;-0,5;2,82
2,1;-0,15;-0,09;3,78
2,2;-0,13;0,36;3,32
2,3;-0,07;0,67;1,63
2,4;0,02;0,73;-0,69
2,5;0,1;0,52;-2,76
2,6;0,14;0,1;-3,78
2,7;0,13;-0,35;-3,36
2,8;0,06;-0,67;-1,68
2,9;-0,03;-0,73;0,62
3;-0,11;-0,52;2,68
3,1;-0,15;-0,12;3,74
3,2;-0,13;0,33;3,38
3,3;-0,07;0,65;1,75
3,4;0,02;0,73;-0,54
3,5;0,1;0,53;-2,62
3,6;0,14;0,13;-3,7
3,7;0,13;-0,32;-3,4
3,8;0,07;-0,64;-1,81
3,9;-0,02;-0,73;0,45
4;-0,1;-0,54;2,54
4,1;-0,15;-0,15;3,68
4,2;-0,14;0,3;3,44
4,3;-0,08;0,64;1,9
4,4;0,01;0,74;-0,36
4,5;0,09;0,56;-2,5
4,6;0,14;0,16;-3,69
4,7;0,13;-0,29;-3,47
4,8;0,07;-0,63;-1,94
4,9;-0,02;-0,73;0,31
5;-0,1;-0,56;2,43
5,1;-0,14;-0,18;3,63
5,2;-0,14;0,27;3,48
5,3;-0,08;0,62;2,03
5,4;0;0,74;-0,2
5,5;0,09;0,57;-2,36
5,6;0,14;0,19;-3,64
5,7;0,13;-0,26;-3,52
5,8;0,08;-0,61;-2,08
5,9;-0,01;-0,73;0,14
6;-0,09;-0,58;2,3
6,1;-0,14;-0,21;3,57
6,2;-0,14;0,24;3,52
6,3;-0,09;0,59;2,15
6,4;0;0,73;-0,02
6,5;0,08;0,59;-2,21
6,6;0,13;0,23;-3,57
6,7;0,13;-0,23;-3,56
6,8;0,08;-0,59;-2,19
6,9;0;-0,73;-0,01
7;-0,09;-0,59;2,15
7,1;-0,14;-0,24;3,49
7,2;-0,14;0,21;3,53
7,3;-0,09;0,57;2,27
7,4;-0,01;0,72;0,14
7,5;0,07;0,61;-2,05
7,6;0,13;0,26;-3,48
7,7;0,13;-0,19;-3,59
7,8;0,09;-0,57;-2,33
7,9;0;-0,72;-0,18
8;-0,08;-0,61;2,01
8,1;-0,13;-0,26;3,43
8,2;-0,14;0,18;3,57
8,3;-0,09;0,55;2,37
8,4;-0,01;0,72;0,29
8,5;0,07;0,62;-1,91
8,6;0,13;0,28;-3,4
8,7;0,13;-0,16;-3,6
8,8;0,09;-0,54;-2,44
8,9;0,01;-0,72;-0,35
9;-0,07;-0,62;1,85
9,1;-0,13;-0,29;3,35
9,2;-0,14;0,14;3,58
9,3;-0,1;0,52;2,48
9,4;-0,02;0,71;0,46
9,5;0,06;0,63;-1,75
9,6;0,12;0,31;-3,32
9,7;0,14;-0,13;-3,63
9,8;0,09;-0,52;-2,55
9,9;0,02;-0,71;-0,5
10;-0,07;-0,63;1,71
10,1;-0,13;-0,32;3,27
10,2;-0,14;0,11;3,59
10,3;-0,1;0,5;2,74
